Date,mean_sentiment,median_sentiment,std_sentiment,Negative,Neutral,Positive
1/2/2008,0.83,0.99,0.29,0,0.995,0.49
1/3/2008,1,1,0,0,0,1
1/7/2008,0.98,0.98,0,0,0,0.98
1/9/2008,0.99,0.99,0.01,0.98,1,0
1/10/2008,0.88,0.88,0,0,0.88,0
1/22/2008,1,1,0.01,0.99,1,1
1/29/2008,0.97,0.97,0,0,0.97,0
1/30/2008,1,1,0,0,1,0
2/1/2008,1,1,0,1,0,0
2/5/2008,1,1,0,1,1,0
2/11/2008,0.78,0.78,0.31,0.78,0,0
2/21/2008,1,1,0,0,1,0
2/22/2008,0.92,0.92,0.12,1,0.83,0
2/28/2008,1,1,0,0,1,0
2/29/2008,1,1,0,1,0,0
3/5/2008,1,1,0,0,1,0
3/7/2008,1,1,0,1,1,0
3/10/2008,1,1,0,1,0,0
3/11/2008,0.65,0.65,0,0,0.65,0
3/18/2008,0.99,0.99,0,0,0.99,0
3/27/2008,1,1,0,1,0,0
4/2/2008,0.97,0.97,0,0,0,0.97
4/7/2008,1,1,0,0,1,0
4/16/2008,1,1,0,0,1,1
4/22/2008,1,1,0,0,1,0
4/23/2008,1,1,0,1,0,0
4/24/2008,1,1,0,1,0,0
4/25/2008,1,1,0,0,1,0
5/5/2008,0.95,0.95,0,0,0.95,0
5/6/2008,0.99,0.99,0,0,0,0.99
5/7/2008,0.71,0.71,0,0,0.71,0
5/8/2008,1,1,0,1,0,0
5/12/2008,0.99,0.99,0.01,0.99,0.99,1
5/16/2008,0.99,0.99,0,0.99,0,0
5/21/2008,1,1,0,0,0,1
5/23/2008,1,1,0,0,1,0
5/27/2008,1,1,0,0,1,0
5/29/2008,1,1,0,1,0,0
6/2/2008,1,1,0,1,0,0
6/4/2008,1,1,0,0,0,1
6/5/2008,1,1,0,0,0,1
6/9/2008,0.99,0.99,0.01,0.99,0,0
6/13/2008,0.99,0.99,0,0,0,0.99
6/20/2008,1,1,0,1,0,0
6/24/2008,1,1,0.01,0,0.99,1
7/1/2008,1,1,0,0,1,0
7/2/2008,0.86,0.86,0.19,0.865,0,0
7/7/2008,1,1,0,0,0,1
7/9/2008,1,1,0,0,1,0
7/14/2008,1,1,0,0,1,0
7/23/2008,1,1,0,0,1,0
7/29/2008,0.73,0.73,0,0,0,0.73
7/31/2008,1,1,0,0,1,0
8/1/2008,1,1,0,0,0,1
8/4/2008,1,1,0,0,0,1
8/8/2008,0.97,0.97,0,0,0.97,0
8/13/2008,0.88,0.88,0,0.88,0,0
8/14/2008,0.89,0.89,0,0,0.89,0
8/19/2008,1,1,0,0,1,0
8/26/2008,1,1,0,0,1,1
8/27/2008,0.99,0.99,0.01,0,0.99,0
8/28/2008,1,1,0,0,1,0
9/3/2008,1,1,0,1,0,0
9/9/2008,1,1,0,0,1,0
9/10/2008,1,1,0,0,1,0
9/11/2008,1,1,0,0,1,0
9/15/2008,1,1,0,1,0,0
9/16/2008,0.98,0.98,0.03,0.98,0,0
9/17/2008,1,1,0,1,0,0
9/19/2008,1,1,0,0,1,0
9/24/2008,0.96,0.96,0,0,0.96,0
9/26/2008,1,1,0,0,1,0
9/29/2008,0.96,1,0.07,1,0.88,0
10/1/2008,0.99,0.99,0,0,0.99,0
10/6/2008,1,1,0,0,1,0
10/7/2008,0.92,0.92,0,0.92,0,0
10/13/2008,1,1,0,1,0,0
10/15/2008,1,1,0,0,1,0
10/17/2008,0.96,0.96,0.02,0,0.965,0
10/20/2008,0.99,0.99,0,0,0.99,0
10/21/2008,1,1,0,0,1,0
10/23/2008,1,1,0,1,1,0
10/24/2008,1,1,0,1,1,0
10/29/2008,0.94,0.94,0,0,0.94,0
10/30/2008,0.99,0.99,0.01,0.98,1,0
11/3/2008,0.88,1,0.21,1,0.64,1
11/4/2008,1,1,0,0,1,0
11/5/2008,1,1,0,0,1,0
11/7/2008,1,1,0,0,1,0
11/10/2008,1,1,0,0,1,0
11/11/2008,0.84,0.84,0.23,1,0,0.68
11/17/2008,1,1,0,1,0,0
11/21/2008,1,1,0,0,1,0
11/24/2008,1,1,0,0,0,1
11/26/2008,1,1,0,0,1,0
12/1/2008,0.99,0.99,0,0,0.99,0
12/2/2008,1,1,0,0,1,0
12/3/2008,1,1,0,0,0,1
12/4/2008,1,1,0,1,0,0
12/9/2008,0.99,0.99,0,0.99,0,0
12/11/2008,1,1,0.01,0,0.99,1
12/17/2008,1,1,0,1,0,0
12/18/2008,1,1,0,0,1,0
12/24/2008,1,1,0,0,1,0
12/30/2008,0.99,0.99,0.01,1,0.98,0
12/31/2008,1,1,0,0,1,0
1/7/2009,1,1,0,1,0,0
1/8/2009,1,1,0,0,0,1
1/12/2009,0.97,0.97,0,0.97,0,0
1/20/2009,1,1,0,0,1,0
1/21/2009,1,1,0.01,0.99,1,0
1/23/2009,1,1,0,0,1,0
1/28/2009,0.98,0.98,0.02,0.97,1,0
1/30/2009,1,1,0,0,1,0
2/2/2009,1,1,0,0,1,0
2/9/2009,1,1,0,0,1,0
2/17/2009,0.93,0.93,0,0.93,0,0
2/18/2009,0.94,0.94,0.09,0.87,1,0
2/23/2009,1,1,0,0,1,0
2/25/2009,0.99,0.99,0,0,0.99,0
3/2/2009,0.89,0.89,0,0,0.89,0
3/3/2009,1,1,0,1,0,0
3/4/2009,1,1,0,1,0,0
3/5/2009,1,1,0,0,1,0
3/9/2009,1,1,0,0,1,0
3/13/2009,1,1,0,0,1,0
3/18/2009,1,1,0,0,1,0
3/26/2009,0.48,0.48,0,0.48,0,0
4/6/2009,0.99,0.99,0,0.99,0,0.99
4/13/2009,0.97,0.97,0,0.97,0,0
4/17/2009,1,1,0,0,1,0
4/28/2009,1,1,0,1,0,0
4/30/2009,0.83,0.83,0.24,1,0.66,0
5/7/2009,1,1,0,0,0,1
5/11/2009,0.87,0.87,0.18,0.74,0,1
5/29/2009,1,1,0,0,1,0
6/1/2009,1,1,0,0,1,0
6/5/2009,1,1,0,0,1,0
6/11/2009,0.96,0.96,0.06,0,0.96,0
6/17/2009,0.95,0.94,0.05,0,0.95,0.94
6/19/2009,0.97,0.97,0,0,0.97,0
6/24/2009,1,1,0,0,1,0
7/1/2009,1,1,0,0,1,0
7/2/2009,1,1,0,0,1,0
7/8/2009,1,1,0,0,1,0
7/9/2009,1,1,0,0,1,0
7/13/2009,1,1,0,0,1,0
7/31/2009,1,1,0,0,1,0
8/5/2009,1,1,0,1,0,0
8/7/2009,1,1,0,0,1,0
8/11/2009,0.98,0.98,0,0.98,0,0
8/13/2009,0.99,0.99,0,0,0.99,0
8/14/2009,1,1,0,0,1,0
8/19/2009,1,1,0,0,1,0
8/31/2009,1,1,0,0,1,0
9/1/2009,1,1,0,0,1,0
9/2/2009,1,1,0,0,1,0
9/8/2009,1,1,0,0,0,1
9/9/2009,0.5,0.5,0,0,0,0.5
9/10/2009,1,1,0,0,1,0
9/11/2009,1,1,0,0,1,1
9/14/2009,0.75,0.75,0,0.75,0,0
9/16/2009,1,1,0,0,1,0
