Date,mean_sentiment,median_sentiment,std_sentiment,Negative,Neutral,Positive
2008-01-02,0.83,0.99,0.29,0.0,0.995,0.49
2008-01-03,1.0,1.0,0.0,0.0,0.0,1.0
2008-01-07,0.98,0.98,0.0,0.0,0.0,0.98
2008-01-09,0.99,0.99,0.01,0.98,1.0,0.0
2008-01-10,0.88,0.88,0.0,0.0,0.88,0.0
2008-01-22,1.0,1.0,0.01,0.99,1.0,1.0
2008-01-29,0.97,0.97,0.0,0.0,0.97,0.0
2008-01-30,1.0,1.0,0.0,0.0,1.0,0.0
2008-02-01,1.0,1.0,0.0,1.0,0.0,0.0
2008-02-05,1.0,1.0,0.0,1.0,1.0,0.0
2008-02-11,0.78,0.78,0.31,0.78,0.0,0.0
2008-02-21,1.0,1.0,0.0,0.0,1.0,0.0
2008-02-22,0.92,0.92,0.12,1.0,0.83,0.0
2008-02-28,1.0,1.0,0.0,0.0,1.0,0.0
2008-02-29,1.0,1.0,0.0,1.0,0.0,0.0
2008-03-05,1.0,1.0,0.0,0.0,1.0,0.0
2008-03-07,1.0,1.0,0.0,1.0,1.0,0.0
2008-03-10,1.0,1.0,0.0,1.0,0.0,0.0
2008-03-11,0.65,0.65,0.0,0.0,0.65,0.0
2008-03-18,0.99,0.99,0.0,0.0,0.99,0.0
2008-03-27,1.0,1.0,0.0,1.0,0.0,0.0
2008-04-02,0.97,0.97,0.0,0.0,0.0,0.97
2008-04-07,1.0,1.0,0.0,0.0,1.0,0.0
2008-04-16,1.0,1.0,0.0,0.0,1.0,1.0
2008-04-22,1.0,1.0,0.0,0.0,1.0,0.0
2008-04-23,1.0,1.0,0.0,1.0,0.0,0.0
2008-04-24,1.0,1.0,0.0,1.0,0.0,0.0
2008-04-25,1.0,1.0,0.0,0.0,1.0,0.0
2008-05-05,0.95,0.95,0.0,0.0,0.95,0.0
2008-05-06,0.99,0.99,0.0,0.0,0.0,0.99
2008-05-07,0.71,0.71,0.0,0.0,0.71,0.0
2008-05-08,1.0,1.0,0.0,1.0,0.0,0.0
2008-05-12,0.99,0.99,0.01,0.99,0.99,1.0
2008-05-16,0.99,0.99,0.0,0.99,0.0,0.0
2008-05-21,1.0,1.0,0.0,0.0,0.0,1.0
2008-05-23,1.0,1.0,0.0,0.0,1.0,0.0
2008-05-27,1.0,1.0,0.0,0.0,1.0,0.0
2008-05-29,1.0,1.0,0.0,1.0,0.0,0.0
2008-06-02,1.0,1.0,0.0,1.0,0.0,0.0
2008-06-04,1.0,1.0,0.0,0.0,0.0,1.0
2008-06-05,1.0,1.0,0.0,0.0,0.0,1.0
2008-06-09,0.99,0.99,0.01,0.99,0.0,0.0
2008-06-13,0.99,0.99,0.0,0.0,0.0,0.99
2008-06-20,1.0,1.0,0.0,1.0,0.0,0.0
2008-06-24,1.0,1.0,0.01,0.0,0.99,1.0
2008-07-01,1.0,1.0,0.0,0.0,1.0,0.0
2008-07-02,0.86,0.86,0.19,0.865,0.0,0.0
2008-07-07,1.0,1.0,0.0,0.0,0.0,1.0
2008-07-09,1.0,1.0,0.0,0.0,1.0,0.0
2008-07-14,1.0,1.0,0.0,0.0,1.0,0.0
2008-07-23,1.0,1.0,0.0,0.0,1.0,0.0
2008-07-29,0.73,0.73,0.0,0.0,0.0,0.73
2008-07-31,1.0,1.0,0.0,0.0,1.0,0.0
2008-08-01,1.0,1.0,0.0,0.0,0.0,1.0
2008-08-04,1.0,1.0,0.0,0.0,0.0,1.0
2008-08-08,0.97,0.97,0.0,0.0,0.97,0.0
2008-08-13,0.88,0.88,0.0,0.88,0.0,0.0
2008-08-14,0.89,0.89,0.0,0.0,0.89,0.0
2008-08-19,1.0,1.0,0.0,0.0,1.0,0.0
2008-08-26,1.0,1.0,0.0,0.0,1.0,1.0
2008-08-27,0.99,0.99,0.01,0.0,0.99,0.0
2008-08-28,1.0,1.0,0.0,0.0,1.0,0.0
2008-09-03,1.0,1.0,0.0,1.0,0.0,0.0
2008-09-09,1.0,1.0,0.0,0.0,1.0,0.0
2008-09-10,1.0,1.0,0.0,0.0,1.0,0.0
2008-09-11,1.0,1.0,0.0,0.0,1.0,0.0
2008-09-15,1.0,1.0,0.0,1.0,0.0,0.0
2008-09-16,0.98,0.98,0.03,0.98,0.0,0.0
2008-09-17,1.0,1.0,0.0,1.0,0.0,0.0
2008-09-19,1.0,1.0,0.0,0.0,1.0,0.0
2008-09-24,0.96,0.96,0.0,0.0,0.96,0.0
2008-09-26,1.0,1.0,0.0,0.0,1.0,0.0
2008-09-29,0.96,1.0,0.07,1.0,0.88,0.0
2008-10-01,0.99,0.99,0.0,0.0,0.99,0.0
2008-10-06,1.0,1.0,0.0,0.0,1.0,0.0
2008-10-07,0.92,0.92,0.0,0.92,0.0,0.0
2008-10-13,1.0,1.0,0.0,1.0,0.0,0.0
2008-10-15,1.0,1.0,0.0,0.0,1.0,0.0
2008-10-17,0.96,0.96,0.02,0.0,0.965,0.0
2008-10-20,0.99,0.99,0.0,0.0,0.99,0.0
2008-10-21,1.0,1.0,0.0,0.0,1.0,0.0
2008-10-23,1.0,1.0,0.0,1.0,1.0,0.0
2008-10-24,1.0,1.0,0.0,1.0,1.0,0.0
2008-10-29,0.94,0.94,0.0,0.0,0.94,0.0
2008-10-30,0.99,0.99,0.01,0.98,1.0,0.0
2008-11-03,0.88,1.0,0.21,1.0,0.64,1.0
2008-11-04,1.0,1.0,0.0,0.0,1.0,0.0
2008-11-05,1.0,1.0,0.0,0.0,1.0,0.0
2008-11-07,1.0,1.0,0.0,0.0,1.0,0.0
2008-11-10,1.0,1.0,0.0,0.0,1.0,0.0
2008-11-11,0.84,0.84,0.23,1.0,0.0,0.68
2008-11-17,1.0,1.0,0.0,1.0,0.0,0.0
